"id","country","geolocation","level","adm1","location","disastertype","continent"
195,"Madagascar","-18.727360, 48.939130",3,"antsiranana","andapa","storm","Africa"
196,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
197,"Madagascar","-15.709748, 46.316553",3,"mahajanga","bealanana","storm","Africa"
198,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
199,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy-varika","storm","Africa"
200,"Madagascar","-17.823719, 48.426265",3,"toamasina","ambatondrazaka","storm","Africa"
201,"Madagascar","-18.716670, 47.266670",3,"antananarivo","ambohidratrimo","storm","Africa"
202,"Madagascar","-17.591262, 48.226616",3,"toamasina","amparafaravola","storm","Africa"
203,"Madagascar","-18.933540, 47.680531",3,"antananarivo","tana avaradrano","storm","Africa"
204,"Madagascar","-14.033330, 49.950000",3,"antananarivo","antanarivo","storm","Africa"
205,"Madagascar","-15.709748, 46.316553",3,"mahajanga","bealanana","storm","Africa"
206,"Madagascar","-18.149200, 49.402340",3,"toamasina","fenoarivo atsinanana","storm","Africa"
207,"Madagascar","-23.350000, 43.666670",3,"toliary","mahabo","storm","Africa"
208,"Madagascar","-15.709748, 46.316553",3,"mahajanga","mampikony","storm","Africa"
209,"Madagascar","-19.163005, 45.369048",3,"toliary","mandrivazo","storm","Africa"
210,"Madagascar","-18.149200, 49.402340",3,"toamasina","moramanga","storm","Africa"
211,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varika","storm","Africa"
212,"Madagascar","-25.011206, 46.891706",3,"toamasina","soanierana ivago","storm","Africa"
213,"Madagascar","-18.149200, 49.402340",3,"toamasina","fenoarivo atsinanana","storm","Africa"
214,"Madagascar","-15.709748, 46.316553",3,"mahajanga","mampikony","storm","Africa"
215,"Madagascar","-16.033957, 48.736524",3,"mahajanga","mandritsara","storm","Africa"
216,"Madagascar","-17.466554, 49.196219",3,"toamasina","vavatenina","storm","Africa"
217,"Madagascar","-17.591262, 48.226616",3,"toamasina","amparafaravola","storm","Africa"
